company_name,company_slug,website,yc_directory_url,all_locations,regions,is_hiring,detected_board_type,trackability,selected_url,evidence
Lucent,lucent,https://lucenthq.com,https://www.ycombinator.com/companies/lucent,"San Francisco, CA, USA",United States of America;America / Canada,true,,custom_page,https://lucenthq.com/careers,custom_careers_page
Lucid,lucid,https://lucid.ai,https://www.ycombinator.com/companies/lucid,"San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,,unknown,https://www.lucid.ai/,no_careers_surface_detected
Lugg,lugg,http://lugg.com,https://www.ycombinator.com/companies/lugg,"San Francisco, CA, USA; Remote",United States of America;America / Canada;Remote;Fully Remote,true,,unknown,https://lugg.com/,no_careers_surface_detected
Lumari,lumari,https://www.lumari.io/,https://www.ycombinator.com/companies/lumari,"San Francisco, CA, USA",United States of America;America / Canada,true,,unknown,https://lumari.io/,no_careers_surface_detected
Luminai,luminai,https://www.luminai.com,https://www.ycombinator.com/companies/luminai,"San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,ashby,api_native,https://www.luminai.com/careers,jobs.ashbyhq.com
Luminal,luminal,https://luminal.com,https://www.ycombinator.com/companies/luminal,"San Francisco, CA, USA",United States of America;America / Canada,true,,custom_page,https://www.luminal.com/careers,custom_careers_page
LunaJoy Health,lunajoy-health,http://HelloLunaJoy.com,https://www.ycombinator.com/companies/lunajoy-health,"Atlanta, GA, USA",United States of America;America / Canada;Remote;Partly Remote,true,,custom_page,https://hellolunajoy.com/join-our-team/careers,custom_careers_page
Luthor,luthor,https://luthor.ai,https://www.ycombinator.com/companies/luthor,"San Francisco, CA, USA",United States of America;America / Canada,true,ukg_ultipro,structured_board,https://www.luthor.ai/,ukg
Mach9,mach9,https://www.mach9.ai/,https://www.ycombinator.com/companies/mach9,"San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,ashby,api_native,https://www.mach9.ai/,jobs.ashbyhq.com
Mage Legal,mage-legal,https://magelegal.com,https://www.ycombinator.com/companies/mage-legal,"San Francisco, CA, USA",United States of America;America / Canada,true,,unknown,https://magelegal.com/,no_careers_surface_detected
Magic,magic,https://getmagic.com/,https://www.ycombinator.com/companies/magic,"Washington, DC, USA; San Francisco, CA, USA; Remote",United States of America;America / Canada;Remote;Fully Remote,true,,custom_page,https://getmagic.com/careers/,custom_careers_page
Magic Patterns,magic-patterns,https://www.magicpatterns.com/,https://www.ycombinator.com/companies/magic-patterns,"San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,ashby,api_native,https://www.magicpatterns.com/,jobs.ashbyhq.com
Magnetic,magnetic,https://www.magnetictax.com,https://www.ycombinator.com/companies/magnetic,"San Francisco, CA, USA",United States of America;America / Canada,true,,custom_page,https://www.magnetictax.com/open-positions/,custom_careers_page
maintouch,maintouch,https://maintouch.com/?utm_source=bookface&utm_medium=social&utm_campaign=profile,https://www.ycombinator.com/companies/maintouch,"New York, NY, USA",United States of America;America / Canada,true,,unknown,https://www.maintouch.com/?utm_source=bookface&utm_medium=social&utm_campaign=profile,no_careers_surface_detected
Malama Health,malama-health,https://www.heymalama.co,https://www.ycombinator.com/companies/malama-health,"Stanford, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,workable,api_native,https://heymalama.co/,apply.workable.com
MangoDesk,mangodesk,https://www.mangodesk.com/,https://www.ycombinator.com/companies/mangodesk,"San Francisco, CA, USA",United States of America;America / Canada,true,,custom_page,https://www.mangodesk.com/open-positions/,custom_careers_page
Manufact (formerly mcp-use),manufact,https://manufact.com,https://www.ycombinator.com/companies/manufact,"San Francisco, CA, USA",United States of America;America / Canada,true,,custom_page,https://www.ycombinator.com/companies/manufact/jobs,custom_careers_page
Margin,margin,https://usemargin.com/,https://www.ycombinator.com/companies/margin,"New York City, NY, USA",United States of America;America / Canada,true,,custom_page,https://www.ycombinator.com/companies/margin/jobs,custom_careers_page
Maritime Fusion,maritime-fusion,https://maritimefusion.com,https://www.ycombinator.com/companies/maritime-fusion,"San Francisco, CA, USA",United States of America;America / Canada,true,,custom_page,https://jobs.gusto.com/boards/maritime-fusion-34d86452-e58d-44d8-86b9-39b654807910,custom_careers_page
Mashgin,mashgin,http://mashgin.com,https://www.ycombinator.com/companies/mashgin,"Palo Alto, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,lever,api_native,https://www.mashgin.com/careers,jobs.lever.co
Mason,mason,http://www.bymason.com,https://www.ycombinator.com/companies/mason,"Seattle, WA, USA",United States of America;America / Canada;Remote;Partly Remote,true,bamboohr,structured_board,https://www.bymason.com/,bamboohr.com
Matter,matter,https://getmatter.app,https://www.ycombinator.com/companies/matter,"San Francisco, CA, USA; Remote",United States of America;America / Canada;Remote;Fully Remote,true,,unknown,https://www.getmatter.com/,no_careers_surface_detected
MaverickX,maverickx,https://www.MaverickX.com,https://www.ycombinator.com/companies/maverickx,"Austin, TX, USA",United States of America;America / Canada,true,lever,api_native,https://www.maverickx.com/,jobs.lever.co
May Mobility,may-mobility,http://maymobility.com,https://www.ycombinator.com/companies/may-mobility,"Ann Arbor, MI, USA",United States of America;America / Canada;Remote;Partly Remote,true,greenhouse,api_native,https://maymobility.com/careers/,greenhouse.io
Maywood,maywood,https://maywoodai.com/,https://www.ycombinator.com/companies/maywood,"New York City, NY, USA",United States of America;America / Canada;Remote;Partly Remote,true,,unknown,https://www.maywoodai.com/,no_careers_surface_detected
Mbodi AI,mbodi-ai,https://www.mbodi.ai/,https://www.ycombinator.com/companies/mbodi-ai,"New York, NY, USA",United States of America;America / Canada,true,ukg_ultipro,structured_board,https://www.mbodi.ai/,ukg
MDalgorithms Inc.,mdalgorithms-inc,https://www.mdalgorithms.com,https://www.ycombinator.com/companies/mdalgorithms-inc,"San Francisco, CA, USA; Remote",United States of America;America / Canada;Remote;Fully Remote,true,,unknown,https://www.mdalgorithms.com/,no_careers_surface_detected
mdhub,mdhub,https://www.mdhub.ai/,https://www.ycombinator.com/companies/mdhub,"San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,,unknown,https://www.mdhub.ai/,no_careers_surface_detected
Measured,measured,https://trymeasured.com/,https://www.ycombinator.com/companies/measured,"New York, NY, USA",United States of America;America / Canada;Remote;Partly Remote,true,,unknown,https://trymeasured.com/,no_careers_surface_detected
MedCrypt,medcrypt,https://www.medcrypt.co,https://www.ycombinator.com/companies/medcrypt,"San Diego, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,,unknown,https://www.medcrypt.com/,no_careers_surface_detected
Mednet,mednet,https://www.themednet.org,https://www.ycombinator.com/companies/mednet,"New York, NY, USA",United States of America;America / Canada;Remote;Partly Remote,true,,custom_page,https://www.themednet.org/careers,custom_careers_page
Medplum,medplum,https://www.medplum.com,https://www.ycombinator.com/companies/medplum,"San Francisco, CA, USA",United States of America;America / Canada,true,,custom_page,https://www.medplum.com/careers,custom_careers_page
